ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
9780679879244,The Golden Compass,Philip Pullman,1995,Scholastic,https://covers.openlibrary.org/b/isbn/9780679879244-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780679879244-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780679879244-L.jpg?default=false
9780316769488,The Catcher in the Rye,J.D. Salinger,1951,"Little, Brown",https://covers.openlibrary.org/b/isbn/9780316769488-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316769488-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg?default=false
9780486282114,Frankenstein,Mary Shelley,1818,"Lackington, Hughes",https://covers.openlibrary.org/b/isbn/9780486282114-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486282114-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486282114-L.jpg?default=false
9780060883287,One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,Editorial Sudamericana,https://covers.openlibrary.org/b/isbn/9780060883287-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060883287-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060883287-L.jpg?default=false
9781451696196,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV Books,https://covers.openlibrary.org/b/isbn/9781451696196-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781451696196-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781451696196-L.jpg?default=false
9780743273565,The Great Gatsby,F. Scott Fitzgerald,1925,Charles Scribner's Sons,https://covers.openlibrary.org/b/isbn/9780743273565-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780743273565-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg?default=false
9780525478812,The Fault in Our Stars,John Green,2012,Dutton Books,https://covers.openlibrary.org/b/isbn/9780525478812-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780525478812-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780525478812-L.jpg?default=false
9780807014295,Man's Search for Meaning,Viktor Frankl,1946,Verlag fur Jugend und Volk,https://covers.openlibrary.org/b/isbn/9780807014295-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780807014295-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780807014295-L.jpg?default=false
9781594634024,The Girl on the Train,Paula Hawkins,2015,Doubleday,https://covers.openlibrary.org/b/isbn/9781594634024-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781594634024-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781594634024-L.jpg?default=false
9781400079988,War and Peace,Leo Tolstoy,1869,The Russian Messenger,https://covers.openlibrary.org/b/isbn/9781400079988-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781400079988-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781400079988-L.jpg?default=false
9781501142970,It,Stephen King,1986,Viking Press,https://covers.openlibrary.org/b/isbn/9781501142970-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501142970-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501142970-L.jpg?default=false
9780141439556,Wuthering Heights,Emily Bronte,1847,Thomas Cautley Newby,https://covers.openlibrary.org/b/isbn/9780141439556-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780141439556-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780141439556-L.jpg?default=false
9780394758282,The Big Sleep,Raymond Chandler,1939,Alfred A. Knopf,https://covers.openlibrary.org/b/isbn/9780394758282-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780394758282-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780394758282-L.jpg?default=false
9780062259653,Bird Box,Josh Malerman,2014,Ecco,https://covers.openlibrary.org/b/isbn/9780062259653-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062259653-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062259653-L.jpg?default=false
9780307352149,Quiet: The Power of Introverts,Susan Cain,2012,Crown,https://covers.openlibrary.org/b/isbn/9780307352149-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307352149-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307352149-L.jpg?default=false
9780544336261,The Giver,Lois Lowry,1993,Houghton Mifflin,https://covers.openlibrary.org/b/isbn/9780544336261-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780544336261-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780544336261-L.jpg?default=false
9780064404990,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,Geoffrey Bles,https://covers.openlibrary.org/b/isbn/9780064404990-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780064404990-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780064404990-L.jpg?default=false
9780446605236,The Notebook,Nicholas Sparks,1996,Warner Books,https://covers.openlibrary.org/b/isbn/9780446605236-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780446605236-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780446605236-L.jpg?default=false
9780143039983,The Haunting of Hill House,Shirley Jackson,1959,Viking Press,https://covers.openlibrary.org/b/isbn/9780143039983-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143039983-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143039983-L.jpg?default=false
9780062094354,The Exorcist,William Peter Blatty,1971,Harper & Row,https://covers.openlibrary.org/b/isbn/9780062094354-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062094354-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062094354-L.jpg?default=false
9780307472880,One Day,David Nicholls,2009,Hodder & Stoughton,https://covers.openlibrary.org/b/isbn/9780307472880-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307472880-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307472880-L.jpg?default=false
9780156029438,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage,https://covers.openlibrary.org/b/isbn/9780156029438-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780156029438-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780156029438-L.jpg?default=false
9780142437209,Jane Eyre,Charlotte Bronte,1847,"Smith, Elder & Co",https://covers.openlibrary.org/b/isbn/9780142437209-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142437209-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142437209-L.jpg?default=false
9781250012579,Eleanor & Park,Rainbow Rowell,2013,St. Martin's Griffin,https://covers.openlibrary.org/b/isbn/9781250012579-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781250012579-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781250012579-L.jpg?default=false
9780486415871,Crime and Punishment,Fyodor Dostoevsky,1866,The Russian Messenger,https://covers.openlibrary.org/b/isbn/9780486415871-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486415871-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486415871-L.jpg?default=false
9780486266847,The Turn of the Screw,Henry James,1898,Macmillan,https://covers.openlibrary.org/b/isbn/9780486266847-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486266847-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486266847-L.jpg?default=false
9780441172719,Dune,Frank Herbert,1965,Chilton Books,https://covers.openlibrary.org/b/isbn/9780441172719-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441172719-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441172719-L.jpg?default=false
9780141439518,Pride and Prejudice,Jane Austen,1813,T. Egerton,https://covers.openlibrary.org/b/isbn/9780141439518-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780141439518-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg?default=false
9780451524935,Nineteen Eighty-Four,George Orwell,1949,Secker & Warburg,https://covers.openlibrary.org/b/isbn/9780451524935-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780451524935-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg?default=false
9780143124542,Me Before You,Jojo Moyes,2012,Penguin Books,https://covers.openlibrary.org/b/isbn/9780143124542-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143124542-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143124542-L.jpg?default=false
9781501110368,It Ends with Us,Colleen Hoover,2016,Atria Books,https://covers.openlibrary.org/b/isbn/9781501110368-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg?default=false
9780441478125,The Left Hand of Darkness,Ursula K. Le Guin,1969,Ace Books,https://covers.openlibrary.org/b/isbn/9780441478125-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441478125-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441478125-L.jpg?default=false
9781501156751,Pet Sematary,Stephen King,1983,Doubleday,https://covers.openlibrary.org/b/isbn/9781501156751-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501156751-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781501156751-L.jpg?default=false
9780062407801,Never Split the Difference,Chris Voss,2016,Harper Business,https://covers.openlibrary.org/b/isbn/9780062407801-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062407801-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062407801-L.jpg?default=false
9780143039433,The Grapes of Wrath,John Steinbeck,1939,The Viking Press,https://covers.openlibrary.org/b/isbn/9780143039433-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143039433-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143039433-L.jpg?default=false
9780765311788,Mistborn: The Final Empire,Brandon Sanderson,2006,Tor Books,https://covers.openlibrary.org/b/isbn/9780765311788-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780765311788-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780765311788-L.jpg?default=false
9780062693662,Murder on the Orient Express,Agatha Christie,1934,Collins Crime Club,https://covers.openlibrary.org/b/isbn/9780062693662-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062693662-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062693662-L.jpg?default=false
9780345337665,Interview with the Vampire,Anne Rice,1976,Alfred A. Knopf,https://covers.openlibrary.org/b/isbn/9780345337665-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780345337665-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780345337665-L.jpg?default=false
9780140280098,Bridget Jones's Diary,Helen Fielding,1996,Picador,https://covers.openlibrary.org/b/isbn/9780140280098-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780140280098-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780140280098-L.jpg?default=false
9780618640157,The Fellowship of the Ring,J.R.R. Tolkien,1954,George Allen & Unwin,https://covers.openlibrary.org/b/isbn/9780618640157-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780618640157-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780618640157-L.jpg?default=false
9780441569595,Neuromancer,William Gibson,1984,Ace Books,https://covers.openlibrary.org/b/isbn/9780441569595-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441569595-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780441569595-L.jpg?default=false
9780440212560,Outlander,Diana Gabaldon,1991,Delacorte Press,https://covers.openlibrary.org/b/isbn/9780440212560-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440212560-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440212560-L.jpg?default=false
9780316017930,Outliers,Malcolm Gladwell,2008,"Little, Brown",https://covers.openlibrary.org/b/isbn/9780316017930-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316017930-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316017930-L.jpg?default=false
9780060850524,Brave New World,Aldous Huxley,1932,Chatto & Windus,https://covers.openlibrary.org/b/isbn/9780060850524-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060850524-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg?default=false
9780440180296,Slaughterhouse-Five,Kurt Vonnegut,1969,Delacorte Press,https://covers.openlibrary.org/b/isbn/9780440180296-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440180296-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440180296-L.jpg?default=false
9780307474278,The Da Vinci Code,Dan Brown,2003,Doubleday,https://covers.openlibrary.org/b/isbn/9780307474278-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307474278-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg?default=false
9780375826696,Eragon,Christopher Paolini,2002,Knopf,https://covers.openlibrary.org/b/isbn/9780375826696-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780375826696-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780375826696-L.jpg?default=false
9780765326355,The Way of Kings,Brandon Sanderson,2010,Tor Books,https://covers.openlibrary.org/b/isbn/9780765326355-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780765326355-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780765326355-L.jpg?default=false
9780345391803,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Pan Books,https://covers.openlibrary.org/b/isbn/9780345391803-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780345391803-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780345391803-L.jpg?default=false
9780060935467,To Kill a Mockingbird,Harper Lee,1960,J.B. Lippincott,https://covers.openlibrary.org/b/isbn/9780060935467-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060935467-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780060935467-L.jpg?default=false
9780735211292,Atomic Habits,James Clear,2018,Avery,https://covers.openlibrary.org/b/isbn/9780735211292-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780735211292-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg?default=false
9780142410370,Matilda,Roald Dahl,1988,Jonathan Cape,https://covers.openlibrary.org/b/isbn/9780142410370-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142410370-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142410370-L.jpg?default=false
9780553283686,Hyperion,Dan Simmons,1989,Doubleday,https://covers.openlibrary.org/b/isbn/9780553283686-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553283686-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553283686-L.jpg?default=false
9780486411095,Dracula,Bram Stoker,1897,Archibald Constable & Co,https://covers.openlibrary.org/b/isbn/9780486411095-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486411095-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780486411095-L.jpg?default=false
9780316015844,Twilight,Stephenie Meyer,2005,"Little, Brown",https://covers.openlibrary.org/b/isbn/9780316015844-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316015844-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780316015844-L.jpg?default=false
9780307743683,Salem's Lot,Stephen King,1975,Doubleday,https://covers.openlibrary.org/b/isbn/9780307743683-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307743683-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307743683-L.jpg?default=false
9780307887436,Ready Player One,Ernest Cline,2011,Crown,https://covers.openlibrary.org/b/isbn/9780307887436-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307887436-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307887436-L.jpg?default=false
9780590353427,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Scholastic,https://covers.openlibrary.org/b/isbn/9780590353427-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780590353427-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780590353427-L.jpg?default=false
9780440414803,Holes,Louis Sachar,1998,"Farrar, Straus and Giroux",https://covers.openlibrary.org/b/isbn/9780440414803-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440414803-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780440414803-L.jpg?default=false
9780143035008,Anna Karenina,Leo Tolstoy,1877,The Russian Messenger,https://covers.openlibrary.org/b/isbn/9780143035008-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143035008-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143035008-L.jpg?default=false
9780375869020,Wonder,R.J. Palacio,2012,Knopf,https://covers.openlibrary.org/b/isbn/9780375869020-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780375869020-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780375869020-L.jpg?default=false
9781400033416,Beloved,Toni Morrison,1987,Alfred A. Knopf,https://covers.openlibrary.org/b/isbn/9781400033416-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781400033416-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781400033416-L.jpg?default=false
9780142410318,Charlie and the Chocolate Factory,Roald Dahl,1964,Alfred A. Knopf,https://covers.openlibrary.org/b/isbn/9780142410318-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142410318-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142410318-L.jpg?default=false
9780307588364,Gone Girl,Gillian Flynn,2012,Crown,https://covers.openlibrary.org/b/isbn/9780307588364-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307588364-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307588364-L.jpg?default=false
9780553380163,A Brief History of Time,Stephen Hawking,1988,Bantam Books,https://covers.openlibrary.org/b/isbn/9780553380163-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553380163-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg?default=false
9781627792127,Six of Crows,Leigh Bardugo,2015,Henry Holt,https://covers.openlibrary.org/b/isbn/9781627792127-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781627792127-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781627792127-L.jpg?default=false
9780812981605,The Power of Habit,Charles Duhigg,2012,Random House,https://covers.openlibrary.org/b/isbn/9780812981605-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812981605-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812981605-L.jpg?default=false
9780307341556,Sharp Objects,Gillian Flynn,2006,Shaye Areheart Books,https://covers.openlibrary.org/b/isbn/9780307341556-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307341556-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307341556-L.jpg?default=false
9780062073488,And Then There Were None,Agatha Christie,1939,Collins Crime Club,https://covers.openlibrary.org/b/isbn/9780062073488-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062073488-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062073488-L.jpg?default=false
9780062024039,Divergent,Veronica Roth,2011,Katherine Tegen Books,https://covers.openlibrary.org/b/isbn/9780062024039-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062024039-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062024039-L.jpg?default=false
9780312674397,Speak,Laurie Halse Anderson,1999,"Farrar, Straus and Giroux",https://covers.openlibrary.org/b/isbn/9780312674397-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780312674397-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780312674397-L.jpg?default=false
9780756404741,The Name of the Wind,Patrick Rothfuss,2007,DAW Books,https://covers.openlibrary.org/b/isbn/9780756404741-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780756404741-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780756404741-L.jpg?default=false
9780142437247,Moby-Dick,Herman Melville,1851,Harper & Brothers,https://covers.openlibrary.org/b/isbn/9780142437247-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142437247-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780142437247-L.jpg?default=false
9780307743657,The Shining,Stephen King,1977,Doubleday,https://covers.openlibrary.org/b/isbn/9780307743657-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307743657-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307743657-L.jpg?default=false
9780812548051,Wizard's First Rule,Terry Goodkind,1994,Tor Books,https://covers.openlibrary.org/b/isbn/9780812548051-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812548051-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812548051-L.jpg?default=false
9780062457714,The Subtle Art of Not Giving a F*ck,Mark Manson,2016,Harper,https://covers.openlibrary.org/b/isbn/9780062457714-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062457714-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062457714-L.jpg?default=false
9780385737951,The Maze Runner,James Dashner,2009,Delacorte Press,https://covers.openlibrary.org/b/isbn/9780385737951-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780385737951-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780385737951-L.jpg?default=false
9780812550702,Ender's Game,Orson Scott Card,1985,Tor Books,https://covers.openlibrary.org/b/isbn/9780812550702-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812550702-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780812550702-L.jpg?default=false
9780553380958,Snow Crash,Neal Stephenson,1992,Bantam Books,https://covers.openlibrary.org/b/isbn/9780553380958-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553380958-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553380958-L.jpg?default=false
9780312924584,The Silence of the Lambs,Thomas Harris,1988,St. Martin's Press,https://covers.openlibrary.org/b/isbn/9780312924584-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780312924584-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780312924584-L.jpg?default=false
9780143113492,In the Woods,Tana French,2007,Viking Press,https://covers.openlibrary.org/b/isbn/9780143113492-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143113492-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780143113492-L.jpg?default=false
9781250301697,The Silent Patient,Alex Michaelides,2019,Celadon Books,https://covers.openlibrary.org/b/isbn/9781250301697-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781250301697-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781250301697-L.jpg?default=false
9780553103540,A Game of Thrones,George R.R. Martin,1996,Bantam Spectra,https://covers.openlibrary.org/b/isbn/9780553103540-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553103540-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553103540-L.jpg?default=false
9780553293357,Foundation,Isaac Asimov,1951,Gnome Press,https://covers.openlibrary.org/b/isbn/9780553293357-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553293357-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553293357-L.jpg?default=false
9780380729407,Something Wicked This Way Comes,Ray Bradbury,1962,Simon & Schuster,https://covers.openlibrary.org/b/isbn/9780380729407-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780380729407-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780380729407-L.jpg?default=false
